Pond,Pot,Plant,Species,Competitor,PlantID,Shade ,Leachate,Above,Rhizome,Below ,Leaves.FA,Leaves.FD,Height.F,Ramets.F
L.Pond8,2,R2,L,L,D-L-4,NS,YL,4.27,7.036,13.897,14,2,64.5,2
L.Pond8,3,R1,L,G,S-L-1,NS,YL,1.5,2.43,4.61,8,1,49.8,1
L.Pond8,3,R2,G,L,M-A-12,NS,YL,1.659,2.31,3.601,11,2,61.2,3
L.Pond8,4,R1,L,G,M-L-15,NS,YL,2.353,4.692,8.33,11,1,54.6,2
L.Pond8,4,R2,G,L,D-A-19,NS,YL,1.896,4.704,7.444,11,2,56.3,2
L.Pond8,5,R1,G,G,C-A-21,NS,YL,9.295,6.006,9.647,12,1,63.6,2
L.Pond8,5,R2,G,G,M-A-12,NS,YL,3.332,5.125,9.774,16,2,68.5,3
L.Pond8,6,R1,L,L,M-H-12,NS,YL,3.457,3.434,5.719,15,2,55.2,3
L.Pond8,6,R2,L,L,D-L-11,NS,YL,1.911,4.129,7.522,13,2,52.3,2
C.Pond9,1,R1,L,L,M-L-5,NS,NL,2.544,4.731,6.724,18,3,59.2,3
C.Pond9,1,R2,L,L,M-L-15,NS,NL,2.618,4.645,7.278,9,2,65.5,1
C.Pond9,2,R1,G,G,D-A-19,NS,NL,2.497,4.046,5.918,10,1,58.7,1
C.Pond9,2,R2,G,G,C-A-21,NS,NL,1.055,1.267,2.016,7,1,46.1,1
C.Pond9,3,R1,L,L,M-L-5,NS,NL,2.707,3.637,4.718,15,1,56.2,2
C.Pond9,3,R2,L,L,D-L-4,NS,NL,2.961,4.321,5.605,16,2,51.1,2
C.Pond9,4,R1,L,G,S-L-1,NS,NL,1.323,1.742,2.603,9,1,48.2,1
C.Pond9,4,R2,G,L,M-A-7,NS,NL,1.571,1.887,2.714,12,2,54.6,2
C.Pond9,5,R1,G,G,M-A-12,NS,NL,3.352,5.357,6.993,18,2,70.1,3
C.Pond9,5,R2,G,G,D-A-11,NS,NL,2.936,4.796,6.825,16,2,69.6,3
C.Pond9,6,R1,L,L,D-L-11,NS,NL,4.189,5.742,9.634,19,2,61.1,3
C.Pond9,6,R2,L,L,D-L-11,NS,NL,1.632,1.991,3.705,14,2,96.1,2
SL.Pond10,1,R1,L,G,M-L-15,YS,YL,2.388,2.532,3.484,9,1,60.6,1
SL.Pond10,1,R2,G,L,M-A-7,YS,YL,0.025,0.01,0.042,3,0,3.5,1
SL.Pond10,2,R1,L,L,S-L-1,YS,YL,3.458,5.12,7.964,19,2,72.2,3
SL.Pond10,2,R2,L,L,D-L-4,YS,YL,2.844,5.534,7.959,12,3,63.3,2
SL.Pond10,3,R1,L,L,M-H-12,YS,YL,0.326,0.197,0.355,6,3,26.2,1
SL.Pond10,3,R2,L,L,M-L-5,YS,YL,3.573,3.156,5.401,25,2,63.1,4
SL.Pond10,4,R1,G,G,D-A-11,YS,YL,2.404,4.651,7.385,19,2,71.1,3
SL.Pond10,4,R2,G,G,M-A-12,YS,YL,2.568,5.433,7.714,13,2,74.6,2
SL.Pond10,5,R1,L,L,D-L-11,YS,YL,2.293,4.171,5.84,14,1,60.6,2
SL.Pond10,5,R2,L,L,S-L-1,YS,YL,0.947,0.944,1.437,7,2,39.1,1
SL.Pond10,6,R1,G,G,C-A-21,YS,YL,2.706,4.975,7.06,14,3,69.2,2
SL.Pond10,6,R2,G,G,D-A-19,YS,YL,4.766,7.36,11.827,17,4,76.4,3
L.Pond11,1,R1,L,L,M-L-5,NS,YL,2.236,3.554,4.662,9,2,51.2,1
L.Pond11,1,R2,L,L,M-H-12,NS,YL,2.989,6.604,8.53,19,2,60.4,3
L.Pond11,2,R1,L,G,D-L-4,NS,YL,1.98,3.831,5.987,10,3,50.9,2
L.Pond11,2,R2,G,L,D-A-19,NS,YL,2.808,4.146,5.607,16,2,57.8,3
L.Pond11,3,R1,G,G,M-A-7,NS,YL,4.265,4.987,6.473,16,2,67.3,3
L.Pond11,3,R2,G,G,D-A-11,NS,YL,1.079,2.081,3.331,12,2,47.7,2
L.Pond11,4,R1,L,G,S-L-1,NS,YL,1.984,3.093,4.282,10,1,52.4,2
L.Pond11,4,R2,G,L,C-A-21,NS,YL,2.151,4.082,5.936,13,3,58.6,2
L.Pond11,5,R1,G,G,D-A-19,NS,YL,2.787,5.357,8.461,14,2,69.1,3
L.Pond11,5,R2,G,G,M-A-12,NS,YL,1.869,4.368,7.643,13,1,57.8,3
L.Pond11,6,R1,L,L,D-L-4,NS,YL,1.627,2.569,3.494,12,2,45.6,2
L.Pond11,6,R2,L,L,M-L-5,NS,YL,2.283,2.841,3.993,10,2,53.1,3
S.Pond12,1,R1,G,G,M-A-7,YS,NL,3.104,5.521,6.707,12,2,77.6,2
S.Pond12,1,R2,G,G,C-A-21,YS,NL,1.335,1.542,2.065,9,1,45.4,2
S.Pond12,2,R1,L,L,D-L-11,YS,NL,2.526,3.513,5.067,9,1,64.6,2
S.Pond12,2,R2,L,L,M-L-15,YS,NL,2.216,3.208,4.123,8,2,62.1,1
S.Pond12,3,R1,G,G,M-A-12,YS,NL,0.745,1.386,1.855,8,1,51.4,2
